Prompt,Completion
What is the compensation percentage for permanent total loss of use of one thumb of either hand with one joint?,The compensation is 10% of the total sum insured.
What is the compensation percentage for permanent total loss of hearing in one ear?,The compensation is 15% of the total sum insured.
What is the compensation percentage for permanent total loss of the central nervous system or the thorax and all abdominal organs resulting in the complete inability to engage in any job?,The compensation is 100% of the total sum insured.
What is the compensation percentage for an established non-union of a fractured leg or kneecap?,10% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of all toes on one foot?,15% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of the big toe on both joints?,5% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of one finger of either hand with two joints?,3.5% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of one thumb of either hand with both joints?,20% of the total sum insured.
What is the compensation percentage for the permanent total loss of sight in both eyes?,100% of the total sum insured.
What is the compensation percentage for the permanent total loss of hearing in one ear?,15% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of four fingers and thumb of either hand?,40% of the total sum insured.
What is the compensation percentage for the permanent total loss of use of one limb? ,50% of the total sum insured.
"What is the compensation percentage for the complete removal of the lower jaw?
",100% of the total sum insured.
